ogc_fid,geo_point_2d,anne_maj,lametro,type_left,name_left,geo_shape,geometry,index_right,bbox_west,bbox_south,bbox_east,bbox_north,place_id,osm_type,osm_id,lat,lon,class,type_right,place_rank,importance,addresstype,name_right,display_name,Distance
1489,"45.17402,5.74223",2016.0,1,chronovelo,,"{""type"":""LineString"",""coordinates"":[[5.74223,45.17402],[5.74132,45.1738],[5.74064,45.17361],[5.7402,45.17351]]}","LINESTRING (639222.1196178593 5648959.104043566, 639120.8188812374 5648924.363939585, 639045.1216274981 5648894.361230512, 638996.1410515489 5648878.570371205)",0,5.6776059,45.1541442,5.7531315,45.2140762,82103472,relation,80348,45.1875602,5.7357819,boundary,administrative,16,0.6845788090893128,city,Grenoble,"Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France",0.23998142276089515
1490,"45.17272,5.73701",2016.0,1,chronovelo,,"{""type"":""LineString"",""coordinates"":[[5.73701,45.17272],[5.7361,45.17272],[5.73488,45.17273]]}","LINESTRING (638641.0318759184 5648753.823557438, 638539.7311392965 5648753.823557438, 638403.9213605288 5648755.402620217)",0,5.6776059,45.1541442,5.7531315,45.2140762,82103472,relation,80348,45.1875602,5.7357819,boundary,administrative,16,0.6845788090893128,city,Grenoble,"Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France",0.23711969497524532
1491,"45.17273,5.73488",2016.0,1,chronovelo,,"{""type"":""LineString"",""coordinates"":[[5.73488,45.17273],[5.73483,45.17273],[5.73481,45.17295],[5.73482,45.1731],[5.73476,45.17315]]}","LINESTRING (638403.9213605288 5648755.402620217, 638398.3553859891 5648755.402620217, 638396.1289961733 5648790.142071492, 638397.2421910812 5648813.82813794, 638390.5630216335 5648821.723507286)",0,5.6776059,45.1541442,5.7531315,45.2140762,82103472,relation,80348,45.1875602,5.7357819,boundary,administrative,16,0.6845788090893128,city,Grenoble,"Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France",0.07443048074154332
1492,"45.17315,5.73476",2016.0,1,chronovelo,,"{""type"":""LineString"",""coordinates"":[[5.73476,45.17315],[5.73452,45.17322],[5.73434,45.17323],[5.73422,45.17321],[5.73396,45.17314],[5.73382,45.17314]]}","LINESTRING (638390.5630216335 5648821.723507286, 638363.8463438431 5648832.777036015, 638343.8088355004 5648834.356112658, 638330.4504966051 5648831.197959651, 638301.507428999 5648820.144432861, 638285.9227002878 5648820.144432861)",0,5.6776059,45.1541442,5.7531315,45.2140762,82103472,relation,80348,45.1875602,5.7357819,boundary,administrative,16,0.6845788090893128,city,Grenoble,"Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France",0.10930589946157573
1625,"45.20183,5.75957",2016.0,1,chronovelo,,"{""type"":""LineString"",""coordinates"":[[5.75957,45.20183],[5.76048,45.20253],[5.76125,45.20312]]}","LINESTRING (641152.3995882147 5653351.650261544, 641253.7003248365 5653462.241868152, 641339.4163327473 5653555.455850504)",9,5.7524967,45.1868691,5.8205172,45.242212,81423202,relation,80379,45.2097372,5.778361,boundary,administrative,16,0.5722767544649576,town,Meylan,"Meylan, Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, 38240, France",0.2766081203333674
1627,"45.20312,5.76125",2019.0,1,chronovelo,,"{""type"":""LineString"",""coordinates"":[[5.76125,45.20312],[5.76125,45.20312],[5.76149,45.20321]]}","LINESTRING (641339.4163327473 5653555.455850504, 641366.1330105378 5653569.675017537)",9,5.7524967,45.1868691,5.8205172,45.242212,81423202,relation,80379,45.2097372,5.778361,boundary,administrative,16,0.5722767544649576,town,Meylan,"Meylan, Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, 38240, France",0.030264923314848462
1628,"45.20965,5.78007",2016.0,1,chronovelo,,"{""type"":""LineString"",""coordinates"":[[5.78007,45.20965],[5.77986,45.20964],[5.7798,45.20961],[5.77964,45.20956],[5.77917,45.20946],[5.77907,45.20945],[5.77895,45.20943],[5.77867,45.20937],[5.77849,45.20937],[5.77832,45.20938],[5.77823,45.20941],[5.77814,45.20944],[5.77784,45.20943],[5.7773,45.20951]]}","LINESTRING (643434.4491494768 5654587.193813268, 643411.0720564103 5654585.6137258345, 643404.3928869626 5654580.873465201, 643386.5817684357 5654572.973036367, 643334.2616077628 5654557.172199534, 643323.1296586836 5654555.5921173785, 643309.7713197883 5654552.431953901, 643278.6018623662 5654542.951470138, 643258.5643540234 5654542.951470138, 643239.6400405884 5654544.531550071, 643229.6212864171 5654549.271791535, 643219.6025322457 5654554.0120355, 643186.2066850078 5654552.431953901, 643126.0941599795 5654565.072614479)",9,5.7524967,45.1868691,5.8205172,45.242212,81423202,relation,80379,45.2097372,5.778361,boundary,administrative,16,0.5722767544649576,town,Meylan,"Meylan, Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, 38240, France",0.319364633612394
1629,"45.21204,5.79772",2019.0,1,chronovelo,,"{""type"":""LineString"",""coordinates"":[[5.79772,45.21204],[5.7977,45.21204],[5.7976,45.212],[5.79602,45.21179],[5.79408,45.21153],[5.79365,45.21149],[5.79231,45.21152],[5.79217,45.21152],[5.792,45.21159]]}","LINESTRING (645399.2381619781 5654964.842677613, 645397.0117721622 5654964.842677613, 645385.8798230828 5654958.52206395, 645209.9950276295 5654925.338915149, 644994.0352154906 5654884.255186389, 644946.1678344494 5654877.934629404, 644796.9997167864 5654882.675046726, 644781.4149880754 5654882.675046726, 644762.4906746405 5654893.736030202)",9,5.7524967,45.1868691,5.8205172,45.242212,81423202,relation,80379,45.2097372,5.778361,boundary,administrative,16,0.5722767544649576,town,Meylan,"Meylan, Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, 38240, France",0.6488789217219414
1645,"45.18776,5.72354",2019.0,1,chronovelo,,"{""type"":""LineString"",""coordinates"":[[5.72354,45.18776],[5.72478,45.18783],[5.72563,45.18788],[5.72635,45.18792],[5.72652,45.18798],[5.72657,45.18797],[5.72662,45.18795],[5.72665,45.18793]]}","LINESTRING (637141.558334933 5651129.04743931, 637279.5945035167 5651140.103804787, 637374.2160706909 5651148.001217023, 637454.3661040622 5651154.319151807, 637473.2904174969 5651163.7960623065, 637478.8563920365 5651162.21657653, 637484.4223665763 5651159.057605807, 637487.7619513001 5651155.898636196)",0,5.6776059,45.1541442,5.7531315,45.2140762,82103472,relation,80348,45.1875602,5.7357819,boundary,administrative,16,0.6845788090893128,city,Grenoble,"Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France",0.351774733428477
1923,"45.18719,5.72745",2016.0,1,chronovelo,,"{""type"":""LineString"",""coordinates"":[[5.72745,45.18719],[5.72705,45.18756],[5.72665,45.18793]]}","LINESTRING (637576.8175439347 5651039.017540846, 637532.2897476174 5651097.457898584, 637487.7619513001 5651155.898636196)",0,5.6776059,45.1541442,5.7531315,45.2140762,82103472,relation,80348,45.1875602,5.7357819,boundary,administrative,16,0.6845788090893128,city,Grenoble,"Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France",0.14694246843482311
